Ids,LogSw|LogSw,LogS (pH = 7.40),NO Ratio,Hetero Ratio,Number of Rings (size 4),Negative form (pH = 7.40),Surface Tension,TPSA,No. of Hydrogen Bond Donors,Density,Parachor,Polarizability,C Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 6),LogD (pH = 7.40),Log(Koc),Log(BCF),LogP
DB08903,0.3785004517,0.38336347200000004,0.1375,0.1279069767,0.0,0.0,0.2726814516,0.023958295,0.0136986301,0.2903225806,0.28275691399999997,0.3161437472,0.875,0.3125,0.5555555556,0.5,0.8013337037999999,0.6554934822999999,0.655264327,0.7868376481999999
DB00869,0.701897019,0.7034358047,0.4,0.5465116279,0.0,0.01,0.3787172379,0.0795264046,0.0410958904,0.4086021505,0.1375453934,0.1381842457,0.5,0.125,0.11111111109999999,0.1,0.6435120867,0.3680943513,0.3682807641,0.6155335108
CID5282375,0.29539295390000003,0.2884267631,0.15,0.1395348837,0.0,0.0,0.16141633060000002,0.0186715995,0.0,0.123655914,0.2063153095,0.2170672007,0.8977272727,0.0625,0.11111111109999999,0.1,0.8241178105,0.6275605214,0.6277210129,0.7694168884999999
DB01194,0.6829268293,0.6835443038,0.4375,0.5581395349,0.0,0.0,0.3804183468,0.08607959470000001,0.0410958904,0.3870967742,0.1733762659,0.17106141519999998,0.4886363636,0.125,0.11111111109999999,0.1,0.6501806057,0.3767846058,0.3767214571,0.6206145657
DB00947,0.1129177958,0.1057866184,0.0875,0.11627906980000001,0.0,0.0,0.2055821573,0.0403281325,0.027397260299999997,0.2258064516,0.3256560837,0.3114152203,0.7840909091,0.25,0.11111111109999999,0.3,0.8635732148,0.6660459342,0.666370502,0.8037744979000001
DB04786,0.721770551,0.7260397829999999,0.425,0.476744186,0.0,1.0,0.6067288306,0.2806415505,0.1643835616,0.5430107527,0.6124949254,0.6385736538,0.5681818182,0.5,0.8888888889,0.8,0.31369824949999997,0.4729981378,0.4731230564,0.530607307
DB01611,0.5799457995,0.7043399638,0.2125,0.19767441859999998,0.0,0.0,0.2549773185,0.0254297411,0.027397260299999997,0.2150537634,0.1789764038,0.1899198932,0.7840909091,0.125,0.22222222219999999,0.2,0.7079744373000001,0.5263811297,0.5264326965999999,0.7055407694
CID72271,0.5943992773,0.7197106690999999,0.275,0.2558139535,0.0,0.0,0.3636592742,0.0471283154,0.0410958904,0.45698924729999996,0.2036570513,0.2576769025,0.7840909091,0.5,0.5555555556,0.4,0.6890803001000001,0.5077591558,0.5077743225,0.6890878297
CID132977,0.7461607949,0.8209764919,0.45,0.476744186,0.0,0.67,0.4573462702,0.2250524203,0.1369863014,0.5107526882,0.5115172647999999,0.5663662661,0.5681818182,0.5,0.8888888889,0.4,0.3589886079,0.3265052762,0.326521546,0.5216549722
CID122262,0.396567299,0.4674502712,0.2,0.1860465116,0.0,0.0,0.3024193548,0.0203585073,0.0,0.2741935484,0.2851009638,0.31058077440000004,0.7840909091,0.375,0.44444444439999997,0.6,0.75854404,0.5729360646,0.5726343846999999,0.7403822889
