Ids,Molecular Weight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Log(BCF),Log(Koc),Parachor,Index of Refraction,Surface Tension,Density,Polarizability,LogS (pH = 7.40),LogP,LogD (pH = 7.40),LogSw|LogSw,LogSw|pH,pKa(Acid)|pKa,pKa(Base)|pKa,Neutral form (pH = 7.40),Negative form (pH = 7.40),Positive form (pH = 7.40),Total energy (VAMP Electrostatics),Electronic energy (VAMP Electrostatics),Heat of formation (VAMP Electrostatics),HOMO eigenvalue (VAMP Electrostatics),LUMO eigenvalue (VAMP Electrostatics),Molecular surface area (VAMP Electrostatics),Mean polarizability (VAMP Electrostatics)
DB08903,0.1145865433,0.0136986301,0.0347826087,0.023958295,0.0529801325,0.875,0.0666666667,0.1375,0.1279069767,0.0410958904,0.3125,0.5555555556,0,0,0,0.5,0.655264327,0.6554934823,0.282756914,0.4736842105,0.2726814516,0.2903225806,0.3161437472,0.383363472,0.7868376482,0.8013337038,0.3785004517,0.6041968162,0.5880730782,0.7644497229,0.03,0,0.97,0.911345791,0.9551174626,0.8728038731,0.3810764418,0.6354075795,0.1013299974,0.1324636598
DB00869,0.0626140118,0.0410958904,0.052173913,0.0795264046,0.0198675497,0.5,0.1466666667,0.4,0.5465116279,0,0.125,0.1111111111,0,0,0.125,0.1,0.3682807641,0.3680943513,0.1375453934,0.4315789474,0.3787172379,0.4086021505,0.1381842457,0.7034358047,0.6155335108,0.6435120867,0.701897019,0.6570188133,0.4650120648,0.6698337292,0.72,0.01,0.27,0.9467288224,0.9816698771,0.8097316433,0.2607689479,0.5572180277,0.0547127044,0.0632406083
CID5282375,0.0693709358,0,0.0260869565,0.0186715995,0.0529801325,0.8977272727,0,0.15,0.1395348837,0,0.0625,0.1111111111,0,0,0,0.1,0.6277210129,0.6275605214,0.2063153095,0.3368421053,0.1614163306,0.123655914,0.2170672007,0.2884267631,0.7694168885,0.8241178105,0.2953929539,0.5658465991,1,0,1,0,0,0.9378469926,0.9761619783,0.8190340841,0.3923584331,0.6418608877,0.0817523941,0.0899895659
DB01194,0.0759006795,0.0410958904,0.0695652174,0.0860795947,0.0463576159,0.4886363636,0.1733333333,0.4375,0.5581395349,0,0.125,0.1111111111,0,0,0.125,0.1,0.3767214571,0.3767846058,0.1733762659,0.4315789474,0.3804183468,0.3870967742,0.1710614152,0.6835443038,0.6206145657,0.6501806057,0.6829268293,0.6562952243,0.4698379869,0.6642913698,0.78,0,0.21,0.9327143628,0.9752422481,0.7985926778,0.2552322121,0.5479301406,0.0691508863,0.0759043475
DB00947,0.12611875,0.0273972603,0.0260869565,0.0403281325,0.0993377483,0.7840909091,0,0.0875,0.1162790698,0.1643835616,0.25,0.1111111111,0,0,0.125,0.3,0.666370502,0.6660459342,0.3256560837,0.3157894737,0.2055821573,0.2258064516,0.3114152203,0.1057866184,0.8037744979,0.8635732148,0.1129177958,0.5658465991,0.4922440538,0,1,0,0,0.8718633411,0.9469432019,0.6857313873,0.3447673909,0.7249055005,0.1259385096,0.1346981104
DB04786,0.2814380282,0.1643835616,0.252173913,0.2806415505,0.1059602649,0.5681818182,0.0933333333,0.425,0.476744186,0,0.5,0.8888888889,0,0,0,0.8,0.4731230564,0.4729981378,0.6124949254,0.5894736842,0.6067288306,0.5430107527,0.6385736538,0.726039783,0.530607307,0.3136982495,0.721770551,0.1606367583,0.143398828,0.3923198733,0,1,0,0.731720188,0.8399353019,0.6508507131,0.3250610581,0.4763774996,0.2139519611,0.2536965984
DB01611,0.0651849719,0.0273972603,0.0347826087,0.0254297411,0.059602649,0.7840909091,0.1733333333,0.2125,0.1976744186,0.0547945205,0.125,0.2222222222,0,0,0,0.2,0.5264326966,0.5263811297,0.1789764038,0.4105263158,0.2549773185,0.2150537634,0.1899198932,0.7043399638,0.7055407694,0.7079744373,0.5799457995,0.7496382055,0.6470182696,0.7470308789,0.03,0,0.97,0.9434455063,0.9781246135,0.8422727269,0.3891585439,0.6547807284,0.0703212559,0.0815665796
CID72271,0.0981733362,0.0410958904,0.0695652174,0.0471283154,0.0132450331,0.7840909091,0.1466666667,0.275,0.2558139535,0,0.5,0.5555555556,0,0,0.375,0.4,0.5077743225,0.5077591558,0.2036570513,0.6421052632,0.3636592742,0.4569892473,0.2576769025,0.7197106691,0.6890878297,0.6890803001,0.5943992773,0.7568740955,0.5604963806,0.7494061758,0.03,0,0.97,0.909393767,0.9541919486,0.8608069661,0.4452252681,0.6775544505,0.0843062409,0.1186006708
CID132977,0.2418119533,0.1369863014,0.2347826087,0.2250524203,0.0927152318,0.5681818182,0.1733333333,0.45,0.476744186,0,0.5,0.8888888889,0,0,0.5,0.4,0.326521546,0.3265052762,0.5115172648,0.5789473684,0.4573462702,0.5107526882,0.5663662661,0.8209764919,0.5216549722,0.3589886079,0.7461607949,0.1562952243,0.1334022751,0.4299287411,0,0.67,0.11,0.7688185085,0.8788918741,0.7743205066,0.3641552145,0.5457297245,0.1949653377,0.2281986569
CID122262,0.1100901748,0,0.052173913,0.0203585073,0.0397350993,0.7840909091,0.2133333333,0.2,0.1860465116,0.0684931507,0.375,0.4444444444,0,0,0,0.6,0.5726343847,0.5729360646,0.2851009638,0.4631578947,0.3024193548,0.2741935484,0.3105807744,0.4674502712,0.7403822889,0.75854404,0.396567299,0.6425470333,1,0.749010293,0.07,0,0.93,0.9078863723,0.9590950136,0.9082457644,0.3357885908,0.6312464033,0.1040763121,0.1314147293
