IDs,Molecular Weight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Log(BCF),Log(Koc),Parachor,Index of Refraction,Surface Tension,Density,Polarizability,LogS (pH = 7.40),LogP,LogD (pH = 7.40),LogSw|LogSw,LogSw|pH,pKa(Acid)|pKa,pKa(Base)|pKa,Neutral form (pH = 7.40),Negative form (pH = 7.40),Positive form (pH = 7.40),Total energy (VAMP Electrostatics),Electronic energy (VAMP Electrostatics),Heat of formation (VAMP Electrostatics),HOMO eigenvalue (VAMP Electrostatics),LUMO eigenvalue (VAMP Electrostatics),Molecular surface area (VAMP Electrostatics),Mean polarizability (VAMP Electrostatics)
DB08903,555.5,1,4,45.59,8,0.86,0.05,0.11,0.11,0.03,5,5,0,0,0,5,5.54,5.51,1131.32,1.67,52.61,1.32,61.92,-5.84,6.86,5.32,-5.97,7.53,13.05,9.31,0.03,0,0.97,-5928.477545,-58241.25212,81.80908,-8.582655,-0.855736,544.348726,61.305169
DB00869,324.44,3,6,151.33,3,0.53,0.11,0.32,0.47,0,2,1,0,0,1,1,-0.92,0.88,609.09,1.63,69.44,1.54,29.93,-2.3,-0.22,-0.36,-2.39,8.26,9.48,6.92,0.72,0.01,0.27,-3777.462051,-24327.61772,-81.332416,-9.916009,-1.772193,315.179677,30.277593
CID5282375,354.48,0,3,35.53,8,0.88,0,0.12,0.12,0,1,1,0,0,0,1,4.92,5.06,856.41,1.54,34.95,1.01,44.11,-6.89,6.14,6.14,-6.89,7,25,-10,1,0,0,-4317.408824,-31362.49085,-57.27089,-8.457618,-0.780097,448.105885,42.267173
DB01194,383.51,3,8,163.8,7,0.52,0.13,0.35,0.48,0,2,1,0,0,1,1,-0.73,1.02,737.95,1.63,69.71,1.5,35.84,-2.52,-0.01,-0.12,-2.6,8.25,9.62,6.78,0.78,0,0.21,-4629.433142,-32537.20103,-110.144264,-9.977372,-1.881056,386.157295,35.953811
DB00947,606.77,2,3,76.74,15,0.78,0,0.07,0.1,0.12,4,1,0,0,1,3,5.79,5.68,1285.6,1.52,41.96,1.2,61.07,-8.91,7.56,7.56,-8.91,7,10.27,-10,1,0,0,-8328.706076,-68681.69197,-402.06925,-8.985064,0.193266,665.323347,62.306708
DB04786,1297.29,12,29,534.03,16,0.59,0.07,0.34,0.41,0,8,8,0,0,0,8,1.44,2.57,2317.17,1.78,105.63,1.79,119.88,-2.05,-3.73,-12.23,-2.17,1.4,0.15,-0.09,0,1,0,-16848.32923,-205355.7709,-492.290975,-9.203467,-2.719722,1097.994523,115.644932
DB01611,335.87,2,4,48.39,9,0.78,0.13,0.17,0.17,0.04,2,2,0,0,0,2,2.64,3.43,758.09,1.61,49.8,1.18,39.23,-2.29,3.5,1.96,-3.74,9.54,14.76,8.87,0.03,0,0.97,-3977.062355,-28855.74735,2.837766,-8.493082,-0.628664,391.910793,38.491771
CID72271,482.53,3,8,89.68,2,0.78,0.11,0.22,0.22,0,8,5,0,0,3,4,2.22,3.13,846.85,1.83,67.05,1.63,51.41,-2.12,2.82,1.28,-3.58,9.64,12.25,8.93,0.03,0,0.97,-6047.145555,-59423.34957,50.778096,-7.871701,-0.361734,460.66051,55.091416
CID132977,1121.12,10,27,428.25,14,0.59,0.13,0.36,0.41,0,8,8,0,0,4,4,-1.86,0.21,1954.02,1.77,81.92,1.73,106.9,-1,-4.1,-10.6,-1.9,1.34,-0.14,0.86,0,0.67,0.11,-14593.03738,-155599.1303,-172.926226,-8.770191,-1.906847,1004.656919,104.21609
CID122262,535.51,0,6,38.74,6,0.78,0.16,0.16,0.16,0.05,6,4,0,0,0,6,3.68,4.18,1139.75,1.66,57.33,1.29,60.92,-4.91,4.94,3.78,-5.77,8.06,25,8.92,0.07,0,0.93,-6138.783531,-53160.99051,173.482439,-9.084575,-0.904509,557.849517,60.835011
