Name,LogT1/2,Label
DB08903,3.597695186,1
DB00869,3.459392488,1
CID5282375,3.459392488,1
DB01194,3.42553422,1
DB00947,2.982271233,1
DB04786,2.936513742,1
DB01611,2.929418926,1
CID72271,2.897627091,1
CID132977,2.86332286,1
CID122262,2.746634199,1
DB00169,2.702430536,1
DB00358,2.681241237,1
DB05294,2.658964843,1
DB04841,2.635483747,1
DB00648,2.635483747,1
DB01118,2.62324929,1
DB00608,2.610660163,1
CID3805581,2.557266529,1
DB00165,2.556302501,1
DB08880,2.526339277,1
DB01097,2.526339277,1
DB01541,2.526339277,1
CID23718384,2.460145817,1
DB00707,2.421603927,1
DB00845,2.380211242,1
DB00146,2.357934847,1
DB01511,2.301029996,1
DB00293,2.29666519,1
DB01396,2.255272505,1
DB00675,2.255272505,1
DB01218,2.225309282,1
CID16132315,2.176091259,1
DB00539,2.170261715,1
DB00451,2.158362492,1
DB00984,2.158362492,1
DB08868,2.158362492,1
DB06155,2.158362492,1
DB00205,2.146128036,1
DB01128,2.1430148,1
DB04911,2.13289977,1
DB00442,2.10720997,1
CID10461508,2.103803721,1
CID60917,2.08278537,1
DB01103,2.079181246,1
DB00946,2.079181246,1
DB01409,2.079181246,1
CID10077130,2.079181246,1
DB00882,2.079181246,1
DB01126,2.079181246,1
DB06708,2.033423755,1
CID9911830,2.033423755,1
DB08883,2.021189299,1
DB08882,2,1
DB00237,2,1
CID4261,1.999565488,1
DB01174,1.995635195,1
DB01299,1.982271233,1
DB08828,1.982271233,1
DB06731,1.982271233,1
DB08911,1.971275849,1
DB00628,1.968482949,1
CID66550890,1.959041392,1
DB00934,1.954242509,1
DB00159,1.949390007,1
DB04961,1.913813852,1
CID21549155,1.908485019,1
CID6433117,1.903089987,1
CID6451149,1.903089987,1
CID9571004,1.897627091,1
DB01238,1.875061263,1
CID11511120,1.863917377,1
DB00812,1.857332496,1
DB06144,1.857332496,1
DB03585,1.857332496,1
DB01043,1.84509804,1
CID44224257,1.841984805,1
CID11284169,1.833784375,1
DB08899,1.827369273,1
CID9966051,1.819543936,1
DB01553,1.812913357,1
DB00843,1.81190998,1
DB00248,1.799340549,1
DB00909,1.799340549,1
DB01117,1.795880017,1
DB00877,1.794488047,1
CID54048333,1.77815125,1
DB00279,1.77815125,1
DB00735,1.77815125,1
DB05062,1.77815125,1
DB00469,1.770852012,1
CID208952,1.770852012,1
CID54678924,1.768638101,1
DB01394,1.763427994,1
CID89657,1.763427994,1
CID4330618,1.752048448,1
DB06581,1.750508395,1
CID23479,1.748188027,1
DB08875,1.740362689,1
